|id |startdt                |enddt                  |task_id|
|---|-----------------------|-----------------------|-------|
|139|2025-09-24 10:25:54.209|2025-09-24 10:25:54.300|1      |
|140|2025-09-24 10:30:54.733|2025-09-24 10:30:54.799|1      |
|141|2025-09-24 10:33:55.078|2025-09-24 10:33:55.160|1      |
|142|2025-09-24 10:33:55.178|2025-09-24 10:33:55.210|2      |
|143|2025-09-24 10:35:45.416|2025-09-24 10:35:45.490|1      |
|144|2025-09-24 10:35:45.507|2025-09-24 10:35:45.540|2      |
|145|2025-09-24 10:40:51.422|2025-09-24 10:40:51.530|1      |
|146|2025-09-24 10:40:51.547|2025-09-24 10:40:51.640|2      |
|147|2025-09-24 10:41:51.739|2025-09-24 10:41:51.821|1      |
|148|2025-09-24 10:41:51.838|2025-09-24 10:41:51.946|2      |
|149|2025-09-24 10:42:52.047|2025-09-24 10:42:52.120|1      |
|150|2025-09-24 10:42:52.137|2025-09-24 10:42:52.311|2      |
|151|2025-09-24 10:43:52.412|2025-09-24 10:43:52.485|1      |
|152|2025-09-24 10:43:52.502|2025-09-24 10:43:52.618|2      |
|153|2025-09-24 10:44:52.717|2025-09-24 10:44:52.799|1      |
|154|2025-09-24 10:44:52.817|2025-09-24 10:44:52.925|2      |
|155|2025-09-24 10:45:53.024|2025-09-24 10:45:53.115|1      |
|156|2025-09-24 10:45:53.132|2025-09-24 10:45:53.274|2      |
|157|2025-09-24 10:46:53.372|2025-09-24 10:46:53.454|1      |
|158|2025-09-24 10:46:53.471|2025-09-24 10:46:53.571|2      |
|159|2025-09-24 10:47:53.662|2025-09-24 10:47:53.753|1      |
|160|2025-09-24 10:47:53.770|2025-09-24 10:47:53.869|2      |
|161|2025-09-24 10:48:53.977|2025-09-24 10:48:54.059|1      |
|162|2025-09-24 10:48:54.077|2025-09-24 10:48:54.176|2      |
|163|2025-09-24 10:49:54.275|2025-09-24 10:49:54.358|1      |
|164|2025-09-24 10:49:54.375|2025-09-24 10:49:54.483|2      |
|165|2025-09-24 10:50:54.582|2025-09-24 10:50:54.664|1      |
|166|2025-09-24 10:50:54.682|2025-09-24 10:50:54.781|2      |
|167|2025-09-24 10:51:54.880|2025-09-24 10:51:54.962|1      |
|168|2025-09-24 10:51:54.980|2025-09-24 10:51:55.087|2      |
|169|2025-09-24 10:52:55.187|2025-09-24 10:52:55.260|1      |
|170|2025-09-24 10:52:55.278|2025-09-24 10:52:55.377|2      |
|171|2025-09-24 10:53:55.476|2025-09-24 10:53:55.560|1      |
|172|2025-09-24 10:53:55.579|2025-09-24 10:53:55.760|2      |
|173|2025-09-24 10:54:55.858|2025-09-24 10:54:55.933|1      |
|174|2025-09-24 10:54:55.950|2025-09-24 10:54:56.049|2      |
|175|2025-09-24 10:55:56.148|2025-09-24 10:55:56.223|1      |
|176|2025-09-24 10:55:56.240|2025-09-24 10:55:56.348|2      |
|177|2025-09-24 10:56:56.447|2025-09-24 10:56:56.521|1      |
|178|2025-09-24 10:56:56.538|2025-09-24 10:56:56.638|2      |
|179|2025-09-24 10:57:56.745|2025-09-24 10:57:56.819|1      |
|180|2025-09-24 10:57:56.836|2025-09-24 10:57:56.978|2      |
|181|2025-09-24 10:58:57.085|2025-09-24 10:58:57.176|1      |
|182|2025-09-24 10:58:57.193|2025-09-24 10:58:57.284|2      |
|183|2025-09-24 10:59:57.392|2025-09-24 10:59:57.474|1      |
|184|2025-09-24 10:59:57.492|2025-09-24 10:59:57.583|2      |
|185|2025-09-24 11:00:57.690|2025-09-24 11:00:57.764|1      |
|186|2025-09-24 11:00:57.782|2025-09-24 11:00:57.873|2      |
|187|2025-09-24 11:01:57.980|2025-09-24 11:01:58.062|1      |
|188|2025-09-24 11:01:58.080|2025-09-24 11:01:58.171|2      |
|189|2025-09-24 11:02:58.278|2025-09-24 11:02:58.360|1      |
|190|2025-09-24 11:02:58.378|2025-09-24 11:02:58.477|2      |
|191|2025-09-24 11:03:58.584|2025-09-24 11:03:58.667|1      |
|192|2025-09-24 11:03:58.685|2025-09-24 11:03:58.776|2      |
|193|2025-09-24 11:04:58.875|2025-09-24 11:04:58.957|1      |
|194|2025-09-24 11:04:58.975|2025-09-24 11:04:59.091|2      |
|195|2025-09-24 11:05:59.190|2025-09-24 11:05:59.272|1      |
|196|2025-09-24 11:05:59.289|2025-09-24 11:05:59.381|2      |
|197|2025-09-24 11:06:59.480|2025-09-24 11:06:59.554|1      |
|198|2025-09-24 11:06:59.571|2025-09-24 11:06:59.671|2      |
|199|2025-09-24 11:07:59.778|2025-09-24 11:07:59.860|1      |
|200|2025-09-24 11:07:59.878|2025-09-24 11:07:59.977|2      |
|201|2025-09-24 11:09:00.076|2025-09-24 11:09:00.160|1      |
|202|2025-09-24 11:09:00.178|2025-09-24 11:09:00.269|2      |
|203|2025-09-24 11:10:00.376|2025-09-24 11:10:00.459|1      |
|204|2025-09-24 11:10:00.476|2025-09-24 11:10:00.575|2      |
|205|2025-09-24 11:11:00.683|2025-09-24 11:11:00.765|1      |
|206|2025-09-24 11:11:00.782|2025-09-24 11:11:00.890|2      |
|207|2025-09-24 11:12:00.997|2025-09-24 11:12:01.080|1      |
|208|2025-09-24 11:12:01.098|2025-09-24 11:12:01.222|2      |
|209|2025-09-24 11:13:01.321|2025-09-24 11:13:01.403|1      |
|210|2025-09-24 11:13:01.420|2025-09-24 11:13:01.511|2      |
|211|2025-09-24 11:14:01.619|2025-09-24 11:14:01.701|1      |
|212|2025-09-24 11:14:01.716|2025-09-24 11:14:01.816|2      |
|213|2025-09-24 11:15:01.915|2025-09-24 11:15:01.997|1      |
|214|2025-09-24 11:15:02.015|2025-09-24 11:15:02.114|2      |
|215|2025-09-24 11:16:02.213|2025-09-24 11:16:02.295|1      |
|216|2025-09-24 11:16:02.313|2025-09-24 11:16:02.412|2      |
|217|2025-09-24 11:17:02.528|2025-09-24 11:17:02.610|1      |
|218|2025-09-24 11:17:02.627|2025-09-24 11:17:02.727|2      |
|219|2025-09-24 11:18:02.834|2025-09-24 11:18:02.917|1      |
|220|2025-09-24 11:18:02.934|2025-09-24 11:18:03.033|2      |
|221|2025-09-24 11:19:03.141|2025-09-24 11:19:03.223|1      |
|222|2025-09-24 11:19:03.241|2025-09-24 11:19:03.340|2      |
|223|2025-09-24 11:20:03.448|2025-09-24 11:20:03.530|1      |
|224|2025-09-24 11:20:03.548|2025-09-24 11:20:03.655|2      |
|225|2025-09-24 11:21:03.754|2025-09-24 11:21:03.828|1      |
|226|2025-09-24 11:21:03.846|2025-09-24 11:21:03.945|2      |
|227|2025-09-24 11:22:04.052|2025-09-24 11:22:04.126|1      |
|228|2025-09-24 11:22:04.144|2025-09-24 11:22:04.243|2      |
|229|2025-09-24 11:23:04.342|2025-09-24 11:23:04.425|1      |
|230|2025-09-24 11:23:04.442|2025-09-24 11:23:04.542|2      |
|231|2025-09-24 11:24:04.641|2025-09-24 11:24:04.723|1      |
|232|2025-09-24 11:24:04.741|2025-09-24 11:24:04.840|2      |
|233|2025-09-24 11:25:04.948|2025-09-24 11:25:05.030|1      |
|234|2025-09-24 11:25:05.047|2025-09-24 11:25:05.147|2      |
|235|2025-09-24 11:26:05.245|2025-09-24 11:26:05.320|1      |
|236|2025-09-24 11:26:05.338|2025-09-24 11:26:05.437|2      |
|237|2025-09-24 11:27:05.544|2025-09-24 11:27:05.643|1      |
|238|2025-09-24 11:27:05.660|2025-09-24 11:27:05.751|2      |
|239|2025-09-24 11:28:05.875|2025-09-24 11:28:05.958|1      |
|240|2025-09-24 11:28:05.975|2025-09-24 11:28:06.083|2      |
|241|2025-09-24 11:29:06.182|2025-09-24 11:29:06.265|1      |
|242|2025-09-24 11:29:06.282|2025-09-24 11:29:06.373|2      |
|243|2025-09-24 11:30:06.480|2025-09-24 11:30:06.555|1      |
|244|2025-09-24 11:30:06.572|2025-09-24 11:30:06.663|2      |
|245|2025-09-24 11:31:06.762|2025-09-24 11:31:06.836|1      |
|246|2025-09-24 11:31:06.853|2025-09-24 11:31:06.944|2      |
|247|2025-09-24 11:32:07.052|2025-09-24 11:32:07.135|1      |
|248|2025-09-24 11:32:07.153|2025-09-24 11:32:07.244|2      |
|249|2025-09-24 11:33:07.347|2025-09-24 11:33:07.451|1      |
|250|2025-09-24 11:33:07.468|2025-09-24 11:33:07.559|2      |
|251|2025-09-24 11:34:07.666|2025-09-24 11:34:07.749|1      |
|252|2025-09-24 11:34:07.767|2025-09-24 11:34:07.874|2      |
|253|2025-09-24 11:35:07.974|2025-09-24 11:35:08.056|1      |
|254|2025-09-24 11:35:08.073|2025-09-24 11:35:08.164|2      |
|255|2025-09-24 11:36:08.272|2025-09-24 11:36:08.454|1      |
|256|2025-09-24 11:36:08.472|2025-09-24 11:36:08.588|2      |
|257|2025-09-24 11:37:08.695|2025-09-24 11:37:08.769|1      |
|258|2025-09-24 11:37:08.786|2025-09-24 11:37:08.894|2      |
|259|2025-09-24 11:38:09.001|2025-09-24 11:38:09.084|1      |
|260|2025-09-24 11:38:09.101|2025-09-24 11:38:09.201|2      |
|261|2025-09-24 11:39:09.300|2025-09-24 11:39:09.383|1      |
|262|2025-09-24 11:39:09.400|2025-09-24 11:39:09.491|2      |
|263|2025-09-24 11:40:09.590|2025-09-24 11:40:09.664|1      |
|264|2025-09-24 11:40:09.682|2025-09-24 11:40:09.789|2      |
|265|2025-09-24 11:41:09.888|2025-09-24 11:41:09.962|1      |
|266|2025-09-24 11:41:09.988|2025-09-24 11:41:10.079|2      |
|267|2025-09-24 11:42:10.187|2025-09-24 11:42:10.269|1      |
|268|2025-09-24 11:42:10.287|2025-09-24 11:42:10.386|2      |
|269|2025-09-24 11:43:10.493|2025-09-24 11:43:10.576|1      |
|270|2025-09-24 11:43:10.593|2025-09-24 11:43:10.692|2      |
|271|2025-09-24 11:44:10.791|2025-09-24 11:44:10.866|1      |
|272|2025-09-24 11:44:10.883|2025-09-24 11:44:10.983|2      |
|273|2025-09-24 11:45:11.082|2025-09-24 11:45:11.164|1      |
|274|2025-09-24 11:45:11.182|2025-09-24 11:45:11.281|2      |
|275|2025-09-24 11:46:11.380|2025-09-24 11:46:11.454|1      |
|276|2025-09-24 11:46:11.472|2025-09-24 11:46:11.580|2      |
|277|2025-09-24 11:47:11.679|2025-09-24 11:47:11.761|1      |
|278|2025-09-24 11:47:11.778|2025-09-24 11:47:11.886|2      |
|279|2025-09-24 11:48:11.985|2025-09-24 11:48:12.067|1      |
|280|2025-09-24 11:48:12.085|2025-09-24 11:48:12.184|2      |
|281|2025-09-24 11:49:12.292|2025-09-24 11:49:12.374|1      |
|282|2025-09-24 11:49:12.392|2025-09-24 11:49:12.483|2      |
|283|2025-09-24 11:50:12.582|2025-09-24 11:50:12.664|1      |
|284|2025-09-24 11:50:12.682|2025-09-24 11:50:12.789|2      |
|285|2025-09-24 11:51:12.889|2025-09-24 11:51:12.988|1      |
|286|2025-09-24 11:51:13.006|2025-09-24 11:51:13.105|2      |
|287|2025-09-24 11:52:13.237|2025-09-24 11:52:13.320|1      |
|288|2025-09-24 11:52:13.337|2025-09-24 11:52:13.453|2      |
|289|2025-09-24 11:53:13.560|2025-09-24 11:53:13.634|1      |
|290|2025-09-24 11:53:13.652|2025-09-24 11:53:13.743|2      |
|291|2025-09-24 11:54:13.842|2025-09-24 11:54:13.925|1      |
|292|2025-09-24 11:54:13.942|2025-09-24 11:54:14.033|2      |
