|id |name                   |request               |description            |prefix|postfix|manage|request_type_id|template|comment_|
|---|-----------------------|----------------------|-----------------------|------|-------|------|---------------|--------|--------|
|1  |sysDescr               |1.3.6.1.2.1.1.1.0     |System description     |      |       |true  |1              |        |        |
|2  |sysUpTime              |1.3.6.1.2.1.1.3.0     |System uptime          |      |       |true  |1              |        |        |
|3  |sysContact             |1.3.6.1.2.1.1.4.0     |System contact         |      |       |true  |1              |        |        |
|4  |sysName                |1.3.6.1.2.1.1.5.0     |System name            |      |       |true  |1              |        |        |
|5  |sysLocation            |1.3.6.1.2.1.1.6.0     |System location        |      |       |true  |1              |        |        |
|6  |ifNumber               |1.3.6.1.2.1.2.1.0     |Number of interfaces   |      |       |true  |1              |        |        |
|7  |dot1dTpFdbAddress      |1.3.6.1.2.1.17.4.3.1.1|MAC Address Table      |      |       |true  |1              |        |        |
|8  |dot1dTpFdbPort         |1.3.6.1.2.1.17.4.3.1.2|MAC Port Mapping       |      |       |true  |1              |        |        |
|9  |ipNetToMediaPhysAddress|1.3.6.1.2.1.4.22.1.2  |ARP Table MAC Addresses|      |       |true  |1              |        |        |
|10 |dot1dBaseBridgeAddress |1.3.6.1.2.1.17.1.1.0  |Base Bridge Address    |      |       |true  |1              |        |        |
|11 |dot1dTpFdbStatus       |1.3.6.1.2.1.17.4.3.1.3|MAC Address Status     |      |       |true  |1              |        |        |
|12 |ipNetToMediaNetAddress |1.3.6.1.2.1.4.22.1.3  |ARP Table IP Addresses |      |       |true  |1              |        |        |
